tip.labels,NMWG.names,GBIF.names,WCVP.manual
Eugenia.abunan_PereiraSilva.16487,Eugenia abunan,Eugenia abunan M.A.D.Souza & Sobral,Eugenia abunan
Eugenia.moschata_Simon.971,Eugenia moschata,Eugenia moschata (Aubl.) Nied. ex T.Durand & B.D.Jacks.,Eugenia moschata
Eugenia.fasciculiflora_Simon.2032,Eugenia fasciculiflora,Eugenia fasciculiflora O.Berg,Eugenia moschata
Eugenia.pisonis_Giaretta.1419,Eugenia pisonis,Eugenia pisonis O.Berg,Eugenia pisonis
Eugenia.aff.moschata_Giaretta.1514,Eugenia aff moschata,Eugenia aff. moschata,NONE
Eugenia.joseramosii_Giaretta.1651,Eugenia joseramosii,Eugenia joseramosii M.A.D.Souza & Scud.,Eugenia joseramosii
Eugenia.kerianthera_Giaretta.1517,Eugenia kerianthera,Eugenia kerianthera M.A.D.Souza,Eugenia kerianthera
Eugenia.spruceana_Holst.9465,Eugenia spruceana,Eugenia spruceana O.Berg,Eugenia spruceana
Eugenia.aff.adenocalyx_Giaretta.1441,Eugenia aff adenocalyx,Eugenia aff. adenocalyx,NONE
Eugenia.aurata_Staggemeier.315,Eugenia aurata,Eugenia aurata O.Berg,Eugenia aurata
Eugenia.flavescens_Zappi.415,Eugenia flavescens,Eugenia flavescens DC.,Eugenia flavescens
Eugenia.sparsa_Mazine.1084,Eugenia sparsa,Eugenia sparsa S.Moore,Eugenia sparsa
Eugenia.leptoclada_Lucas.389,Eugenia leptoclada,Eugenia leptoclada O.Berg,Eugenia leptoclada
Eugenia.neoverrucosa_Lucas.118,Eugenia neoverrucosa,Eugenia neoverrucosa Sobral,Eugenia neoverrucosa
Eugenia.sphenophylla_Lucas.257,Eugenia sphenophylla,Eugenia sphenophylla O.Berg,Eugenia umbellata
Eugenia.talbotii_Parmentier.5037,Eugenia talbotii,Eugenia talbotii Keay,Eugenia talbotii
Eugenia.anastomosans_Holst.9383,Eugenia anastomosans,Eugenia anastomosans DC.,Eugenia anastomosans
Eugenia.egensis_Vasconcelos.319,Eugenia egensis,Eugenia egensis DC.,Eugenia egensis
Eugenia.protenta_Vasconcelos.350,Eugenia protenta,Eugenia protenta Mc Vaugh,Eugenia protenta
Eugenia.sp_Vasconcelos.348,Eugenia sp,Eugenia sp1,NONE
Eugenia.aubletiana_Giaretta.1587,Eugenia aubletiana,Eugenia aubletiana Mattos,Eugenia latifolia
Eugenia.densiracemosa_Mazine.1072,Eugenia densiracemosa,Eugenia densiracemosa Mazine & Faria,Eugenia densiracemosa
Eugenia.latifolia_Prevost.4707,Eugenia latifolia,Eugenia latifolia Aubl.,Eugenia latifolia
Eugenia.neograndifolia_Holst.9435,Eugenia neograndifolia,Eugenia neograndifolia Mattos,Eugenia neograndifolia
Eugenia.platysema_Mazine.3001,Eugenia platysema,Eugenia platysema O.Berg,Eugenia platysema
Eugenia.percincta_Simon.1158,Eugenia percincta,Eugenia percincta Mc Vaugh,Eugenia percincta
Eugenia.astringens_Mazine.782,Eugenia astringens,Eugenia astringens Cambess.,Eugenia astringens
Eugenia.unana_Faria.4221,Eugenia unana,Eugenia unana Sobral,Eugenia unana
Eugenia.bimarginata_Mazine.469,Eugenia bimarginata,Eugenia bimarginata DC.,Eugenia bimarginata
Eugenia.hiemalis_Mazine.970,Eugenia hiemalis,Eugenia hiemalis Cambess.,Eugenia hiemalis
Eugenia.pluriflora_Faria.3052,Eugenia pluriflora,Eugenia pluriflora DC.,Eugenia pluriflora
Eugenia.subglomerata_Mazine.461,Eugenia subglomerata,Eugenia subglomerata (Kuntze) Sobral,Eugenia subglomerata
Eugenia.bacopari_Mazine.967,Eugenia bacopari,Eugenia bacopari D.Legrand,Eugenia bacopari
Eugenia.coronata_Flickinger.109,Eugenia coronata,Eugenia coronata Vahl ex DC.,Eugenia coronata
Eugenia.cycloidea_Flickinger.57,Eugenia cycloidea,Eugenia cycloidea Urb.,Eugenia cycloidea
Eugenia.greggii_Wilson.1534,Eugenia greggii,Eugenia greggii (Sw.) Poir.,Eugenia greggii
Eugenia.lambertiana_Vasconcelos.382,Eugenia lambertiana,Eugenia lambertiana DC.,Eugenia lambertiana
Eugenia.stictopetala_Mazine.1077,Eugenia stictopetala,Eugenia stictopetala Mart. ex DC.,Eugenia stictopetala
Eugenia.pacifica_VS.7887,Eugenia pacifica,Eugenia pacifica Benth.,Eugenia pacifica
Eugenia.cocosensis_VS.7857,Eugenia cocosensis,Eugenia cocosensis Barrie,Eugenia cocosensis
Eugenia.hypargyrea_CarillaReyes.5231,Eugenia hypargyrea,Eugenia hypargyrea Standl.,Eugenia hypargyrea
Eugenia.crenulata_Flickinger.2015DR6,Eugenia crenulata,Eugenia crenulata (Sw.) Willd.,Eugenia crenulata
Eugenia.monticola_Vasconcelos.566,Eugenia monticola,Eugenia monticola (Sw.) DC.,Eugenia monticola
Eugenia.bissei_Gomez.sn,Eugenia bissei,Eugenia bissei Flickinger,Eugenia bissei
Eugenia.maestrensis_Flickinger.20,Eugenia maestrensis,Eugenia maestrensis Urb.,Eugenia maestrensis
Eugenia.laeteviridis_Oviedo.sn,Eugenia laeteviridis,Eugenia laeteviridis Urb.,Eugenia laeteviridis
Eugenia.catingiflora_Oviedo.sn,Eugenia catingiflora,Eugenia catingiflora Griseb.,Eugenia catingiflora
Eugenia.cati_Gomez.sn,Eugenia cati,Eugenia cati Britton & P.Wilson,Eugenia catingiflora
Eugenia.mensurensis_Flickinger.30,Eugenia mensurensis,Eugenia mensurensis Urb.,Eugenia mensurensis
Eugenia.naguana_Flickinger.26,Eugenia naguana,Eugenia naguana Urb.,Eugenia naguana
Eugenia.piedraensis_Flickinger.48,Eugenia piedraensis,Eugenia piedraensis Urb.,Eugenia piedraensis
Eugenia.torbeciana_Ionta.2047,Eugenia torbeciana,Eugenia torbeciana (Urb. & Ekman) Flickinger,Eugenia torbeciana
Eugenia.ekmanii_Skean.5061,Eugenia ekmanii,Eugenia ekmanii (Urb.) Flickinger,Eugenia ekmanii
Eugenia.cucullata_NL110154,Eugenia cucullata,Eugenia cucullata Amshoff,Eugenia cucullata
Eugenia.websteri_Flickinger.2016J8,Eugenia websteri,Eugenia websteri Proctor,Eugenia websteri
Eugenia.retinadenia_Oviedo.sn,Eugenia retinadenia,Eugenia retinadenia C.Wright,Eugenia retinadenia
Eugenia.victorinii_Oviedo.sn,Eugenia victorinii,Eugenia victorinii Alain,Eugenia victorinii
Eugenia.borinquensis_Flickinger.124,Eugenia borinquensis,Eugenia borinquensis Britton,Eugenia borinquensis
Eugenia.stahlii_Flickinger.67,Eugenia stahlii,Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.,Eugenia stahlii
Eugenia.cordata.var.caribaea_Carrington.2338,Eugenia cordata var caribaea,Eugenia cordata var. caribaea Flickinger,Eugenia cordata var. caribaea
Eugenia.cordata.var.cordata_Gibney.sn,Eugenia cordata var cordata,Eugenia cordata var. cordata,Eugenia cordata var. cordata
Eugenia.padronii_Flickinger.83,Eugenia padronii,Eugenia padronii Alain,Eugenia padronii
Eugenia.sintenisii_Flickinger.122,Eugenia sintenisii,Eugenia sintenisii Krug & Urb.,Eugenia cordata var. sintenisii
Eugenia.stewardsonii_Flickinger.76,Eugenia stewardsonii,Eugenia stewardsonii Britton,Eugenia stewardsonii
Eugenia.haematocarpa_Flickinger.123,Eugenia haematocarpa,Eugenia haematocarpa Alain,Eugenia haematocarpa
Eugenia.sessiliflora_Gibney.sn,Eugenia sessiliflora,Eugenia sessiliflora Vahl,Eugenia sessiliflora
Eugenia.stirpiflora_VIIS_1659,Eugenia stirpiflora,Eugenia stirpiflora (O.Berg) Krug & Urb.,Eugenia cordata var. cordata
Eugenia.pubicalyx_Flickinger.2015DR11,Eugenia pubicalyx,Eugenia pubicalyx Alain,Eugenia pubicalyx
Eugenia.fajardensis_Flickinger.110,Eugenia fajardensis,Eugenia fajardensis (Krug & Urb.) Urb.,Eugenia fajardensis
Eugenia.woodburyana_Flickinger.126,Eugenia woodburyana,Eugenia woodburyana Alain,Eugenia woodburyana
Eugenia.walkerae_Walker.95.016,Eugenia walkerae,Eugenia walkerae Flickinger,Eugenia walkerae
Eugenia.axillaris_Hamilton.553,Eugenia axillaris,Eugenia axillaris (Sw.) Willd.,Eugenia axillaris
Eugenia.foetida_Holst.8865,Eugenia foetida,Eugenia foetida Pers.,Eugenia foetida
Eugenia.hiraeifolia_Souza.1142,Eugenia hiraeifolia,Eugenia hiraeifolia Standl.,Eugenia hiraeifolia
Eugenia.laevis_Lucas.1113,Eugenia laevis,Eugenia laevis O.Berg,Eugenia laevis
Eugenia.neibensis_Vasconcelos.590,Eugenia neibensis,Eugenia neibensis (Alain),Eugenia neibensis
Eugenia.rhombea_Holst.8864,Eugenia rhombea,Eugenia rhombea (O.Berg) Krug & Urb. ex Urb.,Eugenia rhombea
Eugenia.burretii_Vasconcelos.588,Eugenia burretii,Eugenia burretii Flickinger,Eugenia burretii
Eugenia.cryptocardia_Vasconcelos.593,Eugenia cryptocardia,Eugenia cryptocardia Flickinger,Eugenia cryptocardia
Eugenia.dictyophylla_Clase.8180,Eugenia dictyophylla,Eugenia dictyophylla Urb.,Eugenia dictyophylla
Eugenia.bahiensis_Faria.4229,Eugenia bahiensis,Eugenia bahiensis DC.,Eugenia bahiensis
Eugenia.rara_Giaretta.1646,Eugenia rara,Eugenia rara Rigueira & Sobral,Eugenia rara
Eugenia.batingabranca_Lucas.232,Eugenia batingabranca,Eugenia batingabranca Sobral,Eugenia batingabranca
Eugenia.verticillata_Duarte.sn_ESA85678,Eugenia verticillata,Eugenia verticillata (Vell.) Angely,Eugenia verticillata
Eugenia.nutans_Lucas.281,Eugenia nutans,Eugenia nutans O.Berg,Eugenia nutans
Eugenia.subavenia_Mazine.805,Eugenia subavenia,Eugenia subavenia O.Berg,Eugenia subavenia
Eugenia.prasina_Mazine.959,Eugenia prasina,Eugenia prasina O.Berg,Eugenia prasina
Eugenia.crassa_Giacomin.1860,Eugenia crassa,Eugenia crassa Sobral,Eugenia crassa
Eugenia.goiapabana_Bunger.sn,Eugenia goiapabana,Eugenia goiapabana Sobral & Mazine,Eugenia goiapabana
Eugenia.grandissima_Faria.6270,Eugenia grandissima,"Eugenia grandissima Sobral, Mazine & E.A.D.Melo",Eugenia grandissima
Eugenia.umbrosa_Mazine.1085,Eugenia umbrosa,Eugenia umbrosa O.Berg,Eugenia umbrosa
Eugenia.ellipsoidea_Lucas.879,Eugenia ellipsoidea,Eugenia ellipsoidea Kiaersk.,Eugenia ellipsoidea
Eugenia.vetula_Faria.1893,Eugenia vetula,Eugenia vetula DC.,Eugenia vetula
Eugenia.schottiana_Valdemarin.821,Eugenia schottiana,Eugenia schottiana O.Berg,Eugenia schottiana
Eugenia.hirta_Faria.4227,Eugenia hirta,Eugenia hirta O.Berg,Eugenia hirta
Eugenia.martinellii_Stadnik.380,Eugenia martinellii,"Eugenia martinellii (G.M.Barroso & M.Peron) Stadnik, D.K.D.Caldas & M.C.Souza",Eugenia martinellii
Eugenia.petaloidea_Amorim.1765.4,Eugenia petaloidea,Eugenia petaloidea Giaretta & B.S.Amorim,Eugenia petaloidea
Eugenia.fissurata_Giaretta.1639,Eugenia fissurata,Eugenia fissurata Mattos,Eugenia fissurata
Eugenia.sebastianopolitana_Stadnik.448,Eugenia sebastianopolitana,"Eugenia sebastianopolitana (G.M.Barroso) Stadnik, D.K.D.Caldas & M.C.Souza",Eugenia sebastianopolitana
Eugenia.cerasiflora_Vasconcelos.419,Eugenia cerasiflora,Eugenia cerasiflora Miq.,Eugenia cerasiflora
Eugenia.rotula_Faria.4190,Eugenia rotula,Eugenia rotula Sobral,Eugenia rotula
Eugenia.lagoensis_Fraga.2436,Eugenia lagoensis,Eugenia lagoensis Kiaersk.,Eugenia lagoensis
Eugenia.punicifolia_Mazine.1065,Eugenia punicifolia,Eugenia punicifolia (Kunth) DC.,Eugenia punicifolia
Eugenia.pseudopsidium_Santiago.2017.7,Eugenia pseudopsidium,Eugenia pseudopsidium Jacq.,Eugenia pseudopsidium
Eugenia.sp_Prevost.4724,Eugenia sp,Eugenia sp2,NONE
Eugenia.melanogyna_Mazine.969,Eugenia melanogyna,Eugenia melanogyna (D.Legrand) Sobral,Eugenia melanogyna
Eugenia.inversa_Faria.4230,Eugenia inversa,Eugenia inversa Sobral,Eugenia inversa
Eugenia.plicatocostata_Popovkin.1770,Eugenia plicatocostata,Eugenia plicatocostata O.Berg,Eugenia plicatocostata
Eugenia.bojeri_Page.32,Eugenia bojeri,Eugenia bojeri Baker,Eugenia bojeri
Eugenia.mespiloides_Wilson.10741,Eugenia mespiloides,Eugenia mespiloides Lam.,Eugenia mespiloides
Eugenia.buxifolia_Wilson.10740,Eugenia buxifolia,Eugenia buxifolia Lam.,Eugenia buxifolia
Eugenia.neofasciculata_Page.105,Eugenia neofasciculata,Eugenia neofasciculata Bennet,Eugenia neofasciculata
Eugenia.pollicina_Page.106,Eugenia pollicina,Eugenia pollicina J.Guého & A.J.Scott,Eugenia pollicina
Eugenia.orbiculata_Page.104,Eugenia orbiculata,Eugenia orbiculata Lam.,Eugenia orbiculata
Eugenia.vaughanii_Page.69,Eugenia vaughanii,Eugenia vaughanii J.Guého & A.J.Scott,Eugenia vaughanii
Eugenia.crassipetala_Florens.sn.PRU092782,Eugenia crassipetala,Eugenia crassipetala J.Guého & A.J.Scott,Eugenia crassipetala
Eugenia.lucida_Florens.sn.PRU092784,Eugenia lucida,Eugenia lucida Lam.,Eugenia lucida
Eugenia.pyxidata_MoorhouseGann.sn,Eugenia pyxidata,Eugenia pyxidata (J.Guého & A.J.Scott) N.Snow,Eugenia pyxidata
Eugenia.tinifolia_Page.25,Eugenia tinifolia,Eugenia tinifolia Lam.,Eugenia tinifolia
Eugenia.kanakana_Florens.sn.PRU092785,Eugenia kanakana,Eugenia kanakana N.Snow,Eugenia kanakana
Eugenia.calcadensis_Erkings.sn,Eugenia calcadensis,Eugenia calcadensis Bedd.,Eugenia calcadensis
Eugenia.sp_RayA.2016,Eugenia sp,Eugenia sp3,NONE
Eugenia.singampattiana_Erkings.sn,Eugenia singampattiana,Eugenia singampattiana Bedd.,Eugenia singampattiana
Eugenia.wynadensis_Rajkumar.310,Eugenia wynadensis,Eugenia wynaadensis Bedd.,Eugenia wynadensis
Eugenia.reinwardtiana_Holst.8870,Eugenia reinwardtiana,Eugenia reinwardtiana (Blume) DC.,Eugenia reinwardtiana
Eugenia.capensis_vanWyk.12723,Eugenia capensis,Eugenia capensis (Eckl. & Zeyh.) Harv.,Eugenia capensis
Eugenia.capensis.subsp.natalitia_Maurin.1796,Eugenia capensis subsp natalitia,Eugenia capensis subsp. natalitia (Sond.) F.White,Eugenia capensis subsp. natalitia
Eugenia.sp_vanWyk.12717,Eugenia sp,Eugenia sp4,NONE
Eugenia.erythrophylla_Maurin.1801,Eugenia erythrophylla,Eugenia erythrophylla Strey,Eugenia erythrophylla
Eugenia.woodii_Maurin.MvdB26,Eugenia woodii,Eugenia woodii Dümmer,Eugenia woodii
Eugenia.zuluensis_Abbott.9188,Eugenia zuluensis,Eugenia zuluensis Dümmer,Eugenia zuluensis
Eugenia.sp_vanWyk.12702,Eugenia sp,Eugenia sp5,NONE
Eugenia.sp_vanWyk.12716,Eugenia sp,Eugenia sp6,NONE
Eugenia.verdoorniae_vanWyk.12697,Eugenia verdoorniae,Eugenia verdoorniae A.E.van Wyk,Eugenia verdoorniae
Eugenia.umtamvunensis_Maurin.1794,Eugenia umtamvunensis,Eugenia umtamvunensis A.E.van Wyk,Eugenia umtamvunensis
Eugenia.capensis.subsp.zeyheri_Maurin.1800,Eugenia capensis subsp zeyheri,Eugenia capensis subsp. zeyheri (Harv.) F.White,Eugenia capensis subsp. zeyheri
Eugenia.roseopetiolata_Vasconcelos.sn,Eugenia roseopetiolata,Eugenia roseopetiolata N.Snow & Cable,Eugenia roseopetiolata
Eugenia.brongniartiana_Pillon.176,Eugenia brongniartiana,Eugenia brongniartiana Guillaumin,Eugenia brongniartiana
Eugenia.bullata_Vasconcelos.608,Eugenia bullata,Eugenia bullata Pancher ex Guillaumin,Eugenia bullata
Eugenia.paludosa_Vasconcelos.646,Eugenia paludosa,Eugenia paludosa Pancher ex Brongn. & Gris,Eugenia paludosa
Eugenia.tropophylla_Lowrey.2134,Eugenia tropophylla,Eugenia tropophylla H.Perrier,Eugenia tropophylla
Eugenia.umbellulifera_Vasconcelos.572,Eugenia umbellulifera,Eugenia umbellulifera Krug & Urb. ex Urb.,Eugenia umbellulifera
Eugenia.excisa_Flickinger.52,Eugenia excisa,Eugenia excisa Urb.,Eugenia excisa
Eugenia.pachyadenia_Verdecia.sn,Eugenia pachyadenia,Eugenia pachyadenia (Urb. & Ekman) Flickinger,Eugenia pachyadenia
Eugenia.lineolata_Flickinger.2015DR18,Eugenia lineolata,Eugenia lineolata Urb. & Ekman,Eugenia lineolata
Eugenia.lucens_Flickinger.55,Eugenia lucens,Eugenia lucens Alain,Eugenia lucens
Eugenia.coffeifolia_Holst.9516,Eugenia coffeifolia,Eugenia coffeifolia DC.,Eugenia sinemariensis
Eugenia.lindahlii_Clase.7839,Eugenia lindahlii,Eugenia lindahlii Urb. & Ekman,Eugenia lindahlii
Eugenia.confusa_Abbott.24085,Eugenia confusa,Eugenia confusa DC.,Eugenia confusa
Eugenia.excelsa_Lucas.125,Eugenia excelsa,Eugenia excelsa O.Berg,Eugenia excelsa
Eugenia.platyphylla_Lucas.1188,Eugenia platyphylla,Eugenia platyphylla O.Berg,Eugenia platyphylla
Eugenia.pistaciifolia_Faria.1782,Eugenia pistaciifolia,Eugenia pistaciifolia DC.,Eugenia pistaciifolia
Eugenia.bunchosiifolia_Vasconcelos.466,Eugenia bunchosiifolia,Eugenia bunchosiifolia Nied.,Eugenia bunchosiifolia
Eugenia.speciosa_Bunger.585,Eugenia speciosa,Eugenia speciosa Cambess.,Eugenia speciosa
Eugenia.stigmatosa_Valdemarin.1353,Eugenia stigmatosa,Eugenia stigmatosa DC.,Eugenia stigmatosa
Eugenia.sp_Faria.6573,Eugenia sp,Eugenia sp7,NONE
Eugenia.longipetiolata_Bunger.626,Eugenia longipetiolata,Eugenia longipetiolata Mattos,Eugenia longipetiolata
Eugenia.wentii_Holst.9421,Eugenia wentii,Eugenia wentii Amshoff,Eugenia wentii
Eugenia.sp_Faria.3140,Eugenia sp,Eugenia sp8,NONE
Eugenia.angustissima_Vasconcelos.405,Eugenia angustissima,Eugenia angustissima O.Berg,Eugenia angustissima
Eugenia.cristaensis_Rosa.1399,Eugenia cristaensis,Eugenia cristaensis O.Berg,Eugenia cristaensis
Eugenia.modesta_Mazine.854,Eugenia modesta,Eugenia modesta DC.,Eugenia modesta
Eugenia.capparidifolia_Mazine.845,Eugenia capparidifolia,Eugenia capparidifolia DC.,Eugenia capparidifolia
Eugenia.costatifructa_Valdemarin.1287,Eugenia costatifructa,Eugenia costatifructa Mazine,Eugenia costatifructa
Eugenia.linearis_Flickinger.2015DR8,Eugenia linearis,Eugenia linearis Rich. ex O.Berg,Eugenia linearis
Eugenia.lineata_Flickinger.102,Eugenia lineata,Eugenia lineata (Sw.) DC.,Eugenia lineata
Eugenia.picardae_Flickinger.2015DR2,Eugenia picardae,Eugenia picardae Krug & Urb. ex Urb,Eugenia picardiae
Eugenia.stenoxipha_Oviedo.sn,Eugenia stenoxipha,Eugenia stenoxipha Urb.,Eugenia stenoxipha
Eugenia.rigidifolia_Oviedo.sn,Eugenia rigidifolia,Eugenia rigidifolia A.Rich.,Eugenia rigidifolia
Eugenia.varia_Oviedo.sn,Eugenia varia,Eugenia varia Britton & P.Wilson,Eugenia varia
Eugenia.lomensis_Flickinger.21,Eugenia lomensis,Eugenia lomensis Britton & P.Wilson,Eugenia lomensis
Eugenia.tuberculata_Oviedo.sn,Eugenia tuberculata,Eugenia tuberculata (Kunth) DC.,Eugenia tuberculata
Eugenia.biflora_Mazine.1075,Eugenia biflora,Eugenia biflora (L.) DC.,Eugenia biflora
Eugenia.intermedia_Araujo.1788,Eugenia intermedia,Eugenia intermedia O.Berg,Eugenia intermedia
Eugenia.eggersii_Swensen.212,Eugenia eggersii,Eugenia eggersii Kiaersk.,Eugenia eggersii
Eugenia.patens_Lucas.104,Eugenia patens,Eugenia patens Poir.,Eugenia polystachya
Eugenia.domingensis_Lucas.1127,Eugenia domingensis,Eugenia domingensis O.Berg,Eugenia domingensis
Eugenia.florida_Mazine.965,Eugenia florida,Eugenia florida DC.,Eugenia florida
Eugenia.paracatuana_Faria.2928,Eugenia paracatuana,Eugenia paracatuana O.Berg,Eugenia paracatuana
Eugenia.chiquitensis_Mazine.1067,Eugenia chiquitensis,Eugenia chiquitensis O.Berg,Eugenia chiquitensis
