"model","LnL","numparams","d","e","j","AIC","AIC_wt","AICc","AICc_wt"
"DEC Unconstr.","-227.6","2","0.0012","1.0e-12","0","459.2","4.7e-13","459.3","4.8e-13"
"DEC+J Unconstr.","-216.8","3","0.0008","1.0e-12","0.0028","439.6","8.6e-09","439.7","8.6e-09"
"DEC Eastbound","-208","2","0.0078","1.0e-12","0","420.1","0.0001","420.1","0.0002"
"DEC+J Eastbound","-198.2","3","0.0055","1.0e-12","0.017","402.5","0.99","402.6","0.99"
"DEC Westbound","-215.3","2","0.0076","1.0e-12","0","434.6","1.0e-07","434.7","1.1e-07"
"DEC+J Westbound","-204.2","3","0.0052","1.0e-12","0.018","414.4","0.0026","414.5","0.0026"
"DIVALIKE Unconstr.","-233.6","2","0.0015","1.0e-12","0","471.3","1.1e-15","471.3","1.2e-15"
"DIVALIKE+J Unconstr.","-225.4","3","0.0010","1.0e-12","0.0029","456.8","1.6e-12","456.9","1.6e-12"
"DIVALIKE Eastbound","-210.5","2","0.0093","1.0e-12","0","424.9","1.3e-05","425","1.3e-05"
"DIVALIKE+J Eastbound","-203.8","3","0.0065","1.0e-12","0.017","413.7","0.0036","413.8","0.0036"
"DIVALIKE Westbound","-215.2","2","0.0092","1.0e-12","0","434.3","1.2e-07","434.4","1.2e-07"
"DIVALIKE+J Westbound","-207.3","3","0.0062","1.0e-12","0.017","420.5","0.0001","420.6","0.0001"
"BAYAREALIKE Unconstr.","-433.7","2","0.010","0.010","0","871.3","1.5e-102","871.4","1.6e-102"
"BAYAREALIKE+J Unconstr.","-225.7","3","0.0007","1.0e-07","0.0041","457.3","1.2e-12","457.4","1.2e-12"
"BAYAREALIKE Eastbound","-264.4","2","0.0075","0.0099","0","532.7","5.1e-29","532.8","5.3e-29"
"BAYAREALIKE+J Eastbound","-206.3","3","0.0045","1.0e-07","0.026","418.7","0.0003","418.7","0.0003"
"BAYAREALIKE Westbound","-270.5","2","0.0075","0.0091","0","545","1.1e-31","545","1.1e-31"
"BAYAREALIKE+J Westbound","-208.7","3","0.0044","1.0e-07","0.026","423.4","2.9e-05","423.5","2.9e-05"
